procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91784 173384  24624 170844    0    0     0    12   70   77  0  1 98  1  0 2020-05-25 16:17:10
 0  0  91784 173384  24624 170844    0    0     0     0   31   40  0  0 100  0  0 2020-05-25 16:17:11
 0  0  91784 173384  24624 170844    0    0     0     0   35   46  0  0 100  0  0 2020-05-25 16:17:12
 0  0  91784 173384  24624 170844    0    0     0     0   83  103  0  0 100  0  0 2020-05-25 16:17:13
 0  0  91784 173384  24624 170844    0    0     0     0   37   55  0  0 100  0  0 2020-05-25 16:17:14
 0  0  91784 173384  24632 170844    0    0     0    12   68   69  1  0 99  0  0 2020-05-25 16:17:15
 0  0  91784 173384  24632 170844    0    0     0     0   29   38  0  0 100  0  0 2020-05-25 16:17:16
 0  0  91784 173384  24632 170844    0    0     0     0   68   67  0  0 100  0  0 2020-05-25 16:17:17
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91784 173384  24632 170844    0    0     0     0   65   59  0  1 99  0  0 2020-05-25 16:17:18
 0  0  91784 173384  24632 170844    0    0     0     0   36   53  0  0 100  0  0 2020-05-25 16:17:19
 0  0  91784 173384  24640 170844    0    0     0    12   66   67  0  2 97  1  0 2020-05-25 16:17:20
 0  0  91784 173384  24640 170844    0    0     0     0   35   46  0  0 100  0  0 2020-05-25 16:17:21
 0  0  91784 173384  24640 170844    0    0     0     0   32   43  0  1 99  0  0 2020-05-25 16:17:22
 0  0  91784 173384  24640 170844    0    0     0     0   69   67  0  0 100  0  0 2020-05-25 16:17:23
 0  0  91784 173384  24640 170844    0    0     0     0  157  144  0  2 98  0  0 2020-05-25 16:17:24
 1  0  91784 173384  24648 170844    0    0     0    12  425  404 43  3 54  0  0 2020-05-25 16:17:25
 0  0  91784 173384  24648 170844    0    0     0     0   67   38 49  0 51  0  0 2020-05-25 16:17:26
 0  0  91784 173384  24648 170844    0    0     0     0   34   48  0  0 100  0  0 2020-05-25 16:17:27
 0  0  91784 173384  24648 170844    0    0     0     0   66   60  0  0 100  0  0 2020-05-25 16:17:28
 0  0  91784 173384  24648 170844    0    0     0     0   32   38  0  2 98  0  0 2020-05-25 16:17:29
 0  0  91784 173384  24656 170844    0    0     0    16   66   70  0  0 100  0  0 2020-05-25 16:17:30
 0  0  91784 173384  24656 170844    0    0     0     0   38   53  0  0 100  0  0 2020-05-25 16:17:31
 0  0  91784 173384  24656 170844    0    0     0     8   41   69  0  0 100  0  0 2020-05-25 16:17:32
 0  0  91784 173384  24656 170844    0    0     0     0   89  113  1  1 98  0  0 2020-05-25 16:17:33
 0  0  91784 173384  24656 170844    0    0     0     0   34   42  0  0 100  0  0 2020-05-25 16:17:34
 0  0  91784 173384  24664 170844    0    0     0    20   71   81  0  0 100  0  0 2020-05-25 16:17:35
 0  0  91784 173384  24664 170844    0    0     0     0   29   34  0  1 99  0  0 2020-05-25 16:17:36
 0  0  91784 173384  24664 170844    0    0     0    48   98  120  1  1 98  0  0 2020-05-25 16:17:37
 0  0  91784 173384  24664 170844    0    0     0     0   54   44  0  0 100  0  0 2020-05-25 16:17:38
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91784 173384  24672 170844    0    0     0    12   38   61  0  0 100  0  0 2020-05-25 16:17:39
 0  0  91784 173384  24672 170844    0    0     0     0   63   51  0  0 100  0  0 2020-05-25 16:17:40
 0  0  91784 173384  24672 170844    0    0     0     0   48   59  0  1 99  0  0 2020-05-25 16:17:41
 0  0  91784 173384  24672 170844    0    0     0     0   21   40  0  0 100  0  0 2020-05-25 16:17:42
 0  0  91784 173384  24672 170844    0    0     0     0  140  197  9  0 91  0  0 2020-05-25 16:17:43
 0  0  91784 173384  24672 170848    0    0     0     0   36   48  0  0 100  0  0 2020-05-25 16:17:44
 0  0  91784 173384  24680 170848    0    0     0    12   73   87  0  1 98  1  0 2020-05-25 16:17:45
 0  0  91784 173384  24680 170848    0    0     0     0   42   43  0  0 100  0  0 2020-05-25 16:17:46
 0  0  91784 173384  24680 170848    0    0     0     0   20   35  0  0 100  0  0 2020-05-25 16:17:47
 0  0  91784 173384  24680 170848    0    0     0     0   68   62  0  0 100  0  0 2020-05-25 16:17:48
 0  0  91784 173384  24680 170848    0    0     0     0   29   34  0  0 100  0  0 2020-05-25 16:17:49
 0  0  91784 173384  24688 170848    0    0     0    12   82   85  0  0 100  0  0 2020-05-25 16:17:50
 0  0  91784 173384  24688 170848    0    0     0     0   33   42  0  0 100  0  0 2020-05-25 16:17:51
 0  0  91784 173384  24688 170848    0    0     0     0   22   36  0  0 100  0  0 2020-05-25 16:17:52
 0  0  91784 173384  24688 170848    0    0     0     0  103  119  0  0 100  0  0 2020-05-25 16:17:53
 0  0  91784 173384  24688 170848    0    0     0     0   33   48  0  0 100  0  0 2020-05-25 16:17:54
 0  0  91784 173384  24696 170848    0    0     0    12  107  105  1  0 99  0  0 2020-05-25 16:17:55
 0  0  91784 173384  24696 170848    0    0     0     0   67   56  1  1 98  0  0 2020-05-25 16:17:56
 0  0  91784 173384  24696 170848    0    0     0     4  123  111  0  2 98  0  0 2020-05-25 16:17:57
 0  0  91784 173384  24696 170848    0    0     0     0   79   85  0  0 100  0  0 2020-05-25 16:17:58
 0  0  91784 173384  24696 170848    0    0     0     0   27   35  0  0 100  0  0 2020-05-25 16:17:59
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91784 173384  24704 170848    0    0     0    12   68   73  0  1 98  1  0 2020-05-25 16:18:00
 0  0  91784 173384  24704 170848    0    0     0     0   29   55  7  2 91  0  0 2020-05-25 16:18:01
 0  0  91784 173384  24704 170848    0    0     0     0   53   56  0  0 100  0  0 2020-05-25 16:18:02
 0  0  91784 173384  24704 170848    0    0     0     0  107  119  0  1 99  0  0 2020-05-25 16:18:03
 0  0  91784 173384  24704 170848    0    0     0     0   29   38  0  0 100  0  0 2020-05-25 16:18:04
 0  0  91784 173384  24712 170848    0    0     0    12   65   71  0  1 99  0  0 2020-05-25 16:18:05
 0  0  91784 173384  24712 170848    0    0     0     0   22   35  0  0 100  0  0 2020-05-25 16:18:06
 0  0  91784 173384  24712 170848    0    0     0     8   49   53  0  0 100  0  0 2020-05-25 16:18:07
 0  0  91784 173384  24712 170848    0    0     0     0   66   59  0  1 99  0  0 2020-05-25 16:18:08
 0  0  91784 173384  24712 170848    0    0     0     0   26   34  0  0 100  0  0 2020-05-25 16:18:09
 0  0  91784 173384  24720 170848    0    0     0    20   68   75  0  0 100  0  0 2020-05-25 16:18:10
 0  0  91784 173384  24720 170848    0    0     0     0   42   57  0  0 100  0  0 2020-05-25 16:18:11
 0  0  91784 173384  24720 170848    0    0     0     0   31   36  0  0 100  0  0 2020-05-25 16:18:12
 0  0  91784 173384  24720 170848    0    0     0     0   82   95  1  0 99  0  0 2020-05-25 16:18:13
 0  0  91784 173384  24720 170848    0    0     0     0   32   50  0  0 100  0  0 2020-05-25 16:18:14
 0  0  91784 173384  24728 170848    0    0     0    12   75   80  0  2 97  1  0 2020-05-25 16:18:15
