procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91819 163574  24123 181806    0    0     0     0   30   45  0  0 100  0  0 2020-05-25 19:39:38
 0  0  91819 163574  24123 181806    0    0     0     0   35   41  1  0 99  0  0 2020-05-25 19:39:39
 0  0  91819 163574  24123 181806    0    0     0     8   56   63  1  0 99  0  0 2020-05-25 19:39:40
 0  0  91819 163574  24070 181806    0    0     0    20   72   88  0  0 99  1  0 2020-05-25 19:39:41
 0  0  91819 163574  24070 181806    0    0     0     0   66   60  0  0 100  0  0 2020-05-25 19:39:42
 0  0  91819 163574  24070 181806    0    0     0     0   32   38  1  0 99  0  0 2020-05-25 19:39:43
 0  0  91819 163574  24070 181806    0    0     0     0   90   82  0  1 99  0  0 2020-05-25 19:39:44
 0  0  91819 163574  24070 181806    0    0     0    16   60   70  0  1 99  0  0 2020-05-25 19:39:45
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91819 163511  24079 181806    0    0     0    12  281  234  0  1 99  0  0 2020-05-25 19:39:46
 0  0  91819 163474  24079 181806    0    0     0     0  219  197  0  1 99  0  0 2020-05-25 19:39:47
 0  0  91819 162426  24079 181806    0    0     0     0  846  641  1  8 91  0  0 2020-05-25 19:39:48
 0  0  91819 163426  24079 181806    0    0     0     0  423  376  8  1 91  0  0 2020-05-25 19:39:49
 0  0  91819 163269  24079 181806    0    0     0     0   55   45  0  0 100  0  0 2020-05-25 19:39:50
 0  0  91819 163295  24039 181806    0    0     0     0  406  360  0  1 99  0  0 2020-05-25 19:39:51
 0  0  91819 163198  24039 181806    0    0     0    12  294  260  0  4 96  0  0 2020-05-25 19:39:52
 0  0  91819 163150  24039 181770    0    0     0     0  600  481  1  6 93  0  0 2020-05-25 19:39:53
 0  0  91819 162742  24039 181770    0    0     0     0  429  345  0  5 95  0  0 2020-05-25 19:39:54
 0  0  91819 162517  24039 181770    0    0     0    12  626  510  1  3 95  1  0 2020-05-25 19:39:55
 0  0  91819 162228  24052 181770    0    0     0     0  831  644  3  6 91  0  0 2020-05-25 19:39:56
 3  0  91819 161092  24052 181852    0    0     0     0  978 2725 25 22 53  0  0 2020-05-25 19:39:57
 1  0  91819 159395  24052 181852    0    0     0     0 1809 1838 85 15  0  0  0 2020-05-25 19:39:58
 0  0  91819 159459  24052 181852    0    0     0     0 1289  895 26 12 61  0  0 2020-05-25 19:39:59
 1  0  91819 159484  24035 181852    0    0     0    12  602  473 21  3 76  0  0 2020-05-25 19:40:00
 1  0  91819 159854  24035 181852    0    0     0     0 1459  927 10 11 78  0  0 2020-05-25 19:40:01
 0  0  91819 160229  24035 181852    0    0     0     0  536  432  0  8 92  0  0 2020-05-25 19:40:02
 1  0  91819 160119  24035 181852    0    0     0     0  770  509  0  8 92  0  0 2020-05-25 19:40:03
 0  0  91819 160109  24087 181852    0    0     0    12  650  524 16  7 79  0  0 2020-05-25 19:40:04
 0  0  91819 160119  24087 181852    0    0     0     0  788  620  0  7 93  0  0 2020-05-25 19:40:05
 0  0  91819 159631  24087 181852    0    0     0     0 1029  760 29  8 63  0  0 2020-05-25 19:40:06
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91819 159432  24087 181852    0    0     0     0  345  313  0  4 96  0  0 2020-05-25 19:40:07
 1  0  91819 157646  24087 181852    0    0     0     0 1868 1190 74 19  7  0  0 2020-05-25 19:40:08
 0  0  91819 157793  24087 181852    0    0     0     0 1092  838 56  6 38  0  0 2020-05-25 19:40:09
 1  0  91819 157943  24129 181852    0    0     0    12  675  552  0  7 93  0  0 2020-05-25 19:40:10
